Large Batch Optimization for Deep Learning: Training BERT in 76 minutes,"

Yang You
, 
Jing Li
, 
Sashank Reddi
, 
Jonathan Hseu
, 
Sanjiv Kumar
, 
Srinadh Bhojanapalli
, 
Xiaodan Song
, 
James Demmel
, 
Kurt Keutzer
, 
Cho-Jui Hsieh

","large-batch optimization
distributed training
fast optimizer",A fast optimizer for general applications and large-batch training.
Difference-Seeking Generative Adversarial Network--Unseen Sample Generation,"

Yi Lin Sung
, 
Sung-Hsien Hsieh
, 
Soo-Chang Pei
, 
Chun-Shien Lu

","generative adversarial network
semi-supervised learning
novelty detection",We proposed a novel GAN framework to generate unseen data.
Stochastic AUC Maximization with Deep Neural Networks,"

Mingrui Liu
, 
Zhuoning Yuan
, 
Yiming Ying
, 
Tianbao Yang

","Stochastic AUC Maximization
Deep Neural Networks","The paper designs two algorithms for the stochastic AUC maximization problem with state-of-the-art complexities when using deep neural network as predictive model, which are also verified by empirical studies."
Semantically-Guided Representation Learning for Self-Supervised Monocular Depth,"

Vitor Guizilini
, 
Rui Hou
, 
Jie Li
, 
Rares Ambrus
, 
Adrien Gaidon

","computer vision
machine learning
deep learning
monocular depth estimation
self-supervised learning",We propose a novel semantically-guided architecture for self-supervised monocular depth estimation
MACER: Attack-free and Scalable Robust Training via Maximizing Certified Radius,"

Runtian Zhai
, 
Chen Dan
, 
Di He
, 
Huan Zhang
, 
Boqing Gong
, 
Pradeep Ravikumar
, 
Cho-Jui Hsieh
, 
Liwei Wang

","Adversarial Robustness
Provable Adversarial Defense
Randomized Smoothing
Robustness Certification",We propose MACER: a provable defense algorithm that trains robust models by maximizing the certified radius. It does not use adversarial training but performs better than all existing provable l2-defenses.
Detecting and Diagnosing Adversarial Images with Class-Conditional Capsule Reconstructions,"

Yao Qin
, 
Nicholas Frosst
, 
Sara Sabour
, 
Colin Raffel
, 
Garrison Cottrell
, 
Geoffrey Hinton

","Adversarial Examples
Detection of adversarial attacks",
GAT: Generative Adversarial Training for Adversarial Example Detection and Robust Classification,"

Xuwang Yin
, 
Soheil Kolouri
, 
Gustavo K Rohde

","adversarial example detection
adversarial examples classification
robust optimization
ML security
generative modeling
generative classification",We propose an objective that could be used for training adversarial example detection and robust classification systems.
Variational Recurrent Models for Solving Partially Observable Control Tasks,"

Dongqi Han
, 
Kenji Doya
, 
Jun Tani

","Reinforcement Learning
Deep Learning
Variational Inference
Recurrent Neural Network
Partially Observable
Robotic Control
Continuous Control",A deep RL algorithm for solving POMDPs by auto-encoding the underlying states using a variational recurrent model
Population-Guided Parallel Policy Search for Reinforcement Learning,"

Whiyoung Jung
, 
Giseung Park
, 
Youngchul Sung

","Reinforcement Learning
Parallel Learning
Population Based Learning",
Compositional languages emerge in a neural iterated learning model,"

Yi Ren
, 
Shangmin Guo
, 
Matthieu Labeau
, 
Shay B. Cohen
, 
Simon Kirby

","Compositionality
Multi-agent
Emergent language
Iterated learning",Use iterated learning framework to facilitate the dominance of high compositional language in multi-agent games.
Black-Box Adversarial Attack with Transferable Model-based Embedding,"

Zhichao Huang
, 
Tong Zhang

","adversarial examples
black-box attack
embedding","We present a new method that combines transfer-based and scored black-box adversarial attack, improving the success rate and query efficiency of black-box adversarial attack across different network architectures."
I Am Going MAD: Maximum Discrepancy Competition for Comparing Classifiers Adaptively,"

Haotao Wang
, 
Tianlong Chen
, 
Zhangyang Wang
, 
Kede Ma

",model comparison,"We present an efficient and adaptive framework for comparing image classifiers to maximize the discrepancies between the classifiers, in place of comparing on fixed test sets."
Mixout: Effective Regularization to Finetune Large-scale Pretrained Language Models,"

Cheolhyoung Lee
, 
Kyunghyun Cho
, 
Wanmo Kang

","regularization
finetuning
dropout
dropconnect
adaptive L2-penalty
BERT
pretrained language model",
Q-learning with UCB Exploration is Sample Efficient for Infinite-Horizon MDP,"

Yuanhao Wang
, 
Kefan Dong
, 
Xiaoyu Chen
, 
Liwei Wang

","theory
reinforcement learning
sample complexity","We adapt Q-learning with UCB-exploration bonus to infinite-horizon MDP with discounted rewards without accessing a generative model, and improves the previously best known result."
Deep Network Classification by Scattering and Homotopy Dictionary Learning,"

John Zarka
, 
Louis Thiry
, 
Tomas Angles
, 
Stephane Mallat

","dictionary learning
scattering transform
sparse coding
imagenet",A scattering transform followed by supervised dictionary learning reaches a higher accuracy than AlexNet on ImageNet.
Data-Independent Neural Pruning via Coresets,"

Ben Mussay
, 
Margarita Osadchy
, 
Vladimir Braverman
, 
Samson Zhou
, 
Dan Feldman

","coresets
neural pruning
network compression","We propose an efficient, provable and data independent method for network compression via neural pruning using coresets of neurons -- a novel construction proposed in this paper."
Bounds on Over-Parameterization for Guaranteed Existence of Descent Paths in Shallow ReLU Networks,"

Arsalan Sharifnassab
, 
Saber Salehkaleybar
, 
S. Jamaloddin Golestani

","Spurious local minima
Loss landscape
Over-parameterization
Theory of deep learning
Optimization
Descent path",
Novelty Detection Via Blurring,"

Sungik Choi
, 
Sae-Young Chung

","novelty
anomaly
uncertainty",We propose a novel OOD detector that employ blurred images as adversarial examples . Our model achieve significant OOD detection performance in various domains.
Piecewise linear activations substantially shape the loss surfaces of neural networks,"

Fengxiang He
, 
Bohan Wang
, 
Dacheng Tao

","neural network
nonlinear activation
loss surface
spurious local minimum",This paper presents how the loss surfaces of nonlinear neural networks are substantially shaped by the nonlinearities in activations.
Relational State-Space Model for Stochastic Multi-Object Systems,"

Fan Yang
, 
Ling Chen
, 
Fan Zhou
, 
Yusong Gao
, 
Wei Cao

","state-space model
time series
deep sequential model
graph neural network",A deep hierarchical state-space model in which the state transitions of correlated objects are coordinated by graph neural networks.
Learning Efficient Parameter Server Synchronization Policies for Distributed SGD,"

Rong Zhu
, 
Sheng Yang
, 
Andreas Pfadler
, 
Zhengping Qian
, 
Jingren Zhou

","Distributed SGD
Paramter-Server
Synchronization Policy
Reinforcement Learning",We apply a reinforcement learning based approach to learning optimal synchronization policies used for Parameter Server-based distributed training  of SGD.
Action Semantics Network: Considering the Effects of Actions in Multiagent Systems,"

Weixun Wang
, 
Tianpei Yang
, 
Yong Liu
, 
Jianye Hao
, 
Xiaotian Hao
, 
Yujing Hu
, 
Yingfeng Chen
, 
Changjie Fan
, 
Yang Gao

","multiagent coordination
multiagent learning",Our proposed ASN characterizes different actions' influence on other agents using neural networks based on the action semantics between them.
Vid2Game: Controllable Characters Extracted from Real-World Videos,"

Oran Gafni
, 
Lior Wolf
, 
Yaniv Taigman

",,
Self-Adversarial Learning with Comparative Discrimination for Text Generation,"

Wangchunshu Zhou
, 
Tao Ge
, 
Ke Xu
, 
Furu Wei
, 
Ming Zhou

","adversarial learning
text generation",We propose a self-adversarial learning (SAL) paradigm which improves the generator in a self-play fashion for improving GANs' performance in text generation.
Robust training with ensemble consensus,"

Jisoo Lee
, 
Sae-Young Chung

","Annotation noise
Noisy label
Robustness
Ensemble
Perturbation",This work presents a method of generating and using ensembles effectively to identify noisy examples in the presence of annotation noise. 
Identifying through Flows for Recovering Latent Representations,"

Shen Li
, 
Bryan Hooi
, 
Gim Hee Lee

","Representation learning
identifiable generative models
nonlinear-ICA",
Certified Robustness for Top-k Predictions against Adversarial Perturbations via Randomized Smoothing,"

Jinyuan Jia
, 
Xiaoyu Cao
, 
Binghui Wang
, 
Neil Zhenqiang Gong

","Certified Adversarial Robustness
Randomized Smoothing
Adversarial Examples",We study the certified robustness for top-k predictions via randomized smoothing under Gaussian noise and derive a tight robustness bound in L_2 norm.
Optimistic Exploration even with a Pessimistic Initialisation,"

Tabish Rashid
, 
Bei Peng
, 
Wendelin Boehmer
, 
Shimon Whiteson

","Reinforcement Learning
Exploration
Optimistic Initialisation","We augment the Q-value estimates with a count-based bonus that ensures optimism during action selection and bootstrapping, even if the Q-value estimates are pessimistic."
VL-BERT: Pre-training of Generic Visual-Linguistic Representations,"

Weijie Su
, 
Xizhou Zhu
, 
Yue Cao
, 
Bin Li
, 
Lewei Lu
, 
Furu Wei
, 
Jifeng Dai

","Visual-Linguistic
Generic Representation
Pre-training","VL-BERT is a simple yet powerful pre-trainable generic representation for visual-linguistic tasks. It is pre-trained on the massive-scale caption dataset and text-only corpus, and can be finetuned for varies down-stream visual-linguistic tasks."
Deformable Kernels: Adapting Effective Receptive Fields for Object Deformation,"

Hang Gao
, 
Xizhou Zhu
, 
Stephen Lin
, 
Jifeng Dai

","Effective Receptive Fields
Deformation Modeling
Dynamic Inference",Don't deform your convolutions -- deform your kernels.
Ensemble Distribution Distillation,"

Andrey Malinin
, 
Bruno Mlodozeniec
, 
Mark Gales

","Ensemble Distillation
Knowledge Distillation
Uncertainty Estimation
Density Estimation","We distill an ensemble of models into a single model, capturing both the improved classification performance and information about the diversity of the ensemble, which is useful for uncertainty estimation."
Gap-Aware Mitigation of Gradient Staleness,"

Saar Barkai
, 
Ido Hakimi
, 
Assaf Schuster

","distributed
asynchronous
large scale
gradient staleness
staleness penalization
sgd
deep learning
neural networks
optimization","A new distributed, asynchronous, SGD-based algorithm, which achieves state-of-the-art accuracy on existing architectures using staleness penalization without having to re-tune the hyperparameters."
Counterfactuals uncover the modular structure of deep generative models,"

Michel Besserve
, 
Arash Mehrjou
, 
Rémy Sun
, 
Bernhard Schölkopf

","generative models
causality
counterfactuals
representation learning
disentanglement
generalization
unsupervised learning",We develop a framework to find modular internal representations in generative models and manipulate then to generate counterfactual examples.
Physics-as-Inverse-Graphics: Unsupervised Physical Parameter Estimation from Video,"

Miguel Jaques
, 
Michael Burke
, 
Timothy Hospedales

",,"We propose a model that is able to perform physical parameter estimation of systems from video, where the differential equations governing the scene dynamics are known, but labeled states or objects are not available."
An Inductive Bias for Distances: Neural Nets that Respect the Triangle Inequality,"

Silviu Pitis
, 
Harris Chan
, 
Kiarash Jamali
, 
Jimmy Ba

","metric learning
deep metric learning
neural network architectures
triangle inequality
graph distances","We propose novel neural network architectures, guaranteed to satisfy the triangle inequality, for purposes of (asymmetric) metric learning and modeling graph distances. "
A Constructive Prediction of the Generalization Error Across Scales,"

Jonathan S. Rosenfeld
, 
Amir Rosenfeld
, 
Yonatan Belinkov
, 
Nir Shavit

","neural networks
deep learning
generalization error
scaling
scalability
vision
language",We predict the generalization error and specify the model which attains it across model/data scales.
Scalable Neural Methods for Reasoning With a Symbolic Knowledge Base,"

William W. Cohen
, 
Haitian Sun
, 
R. Alex Hofer
, 
Matthew Siegler

","question-answering
knowledge base completion
neuro-symbolic reasoning
multihop reasoning",A scalable differentiable neural module that implements reasoning on symbolic KBs.
CLN2INV: Learning Loop Invariants with Continuous Logic Networks,"

Gabriel Ryan
, 
Justin Wong
, 
Jianan Yao
, 
Ronghui Gu
, 
Suman Jana

","loop invariants
deep learning
logic learning","We introduce the Continuous Logic Network (CLN), a novel neural architecture for automatically learning loop invariants and general SMT formulas."
NAS evaluation is frustratingly hard,"

Antoine Yang
, 
Pedro M. Esperança
, 
Fabio M. Carlucci

","neural architecture search
nas
benchmark
reproducibility
harking","A study of how different components in the NAS pipeline contribute to the final accuracy. Also, a benchmark of 8 methods on 5 datasets."
Efficient and Information-Preserving Future Frame Prediction and Beyond,"

Wei Yu
, 
Yichao Lu
, 
Steve Easterbrook
, 
Sanja Fidler

","self-supervised learning
generative pre-training
video prediction
reversible architecture",
Order Learning and Its Application to Age Estimation,"

Kyungsun Lim
, 
Nyeong-Ho Shin
, 
Young-Yoon Lee
, 
Chang-Su Kim

","Order learning
age estimation
aesthetic assessment",The notion of order learning is proposed and it is applied to regression problems in computer vision
ReClor: A Reading Comprehension Dataset Requiring Logical Reasoning,"

Weihao Yu
, 
Zihang Jiang
, 
Yanfei Dong
, 
Jiashi Feng

","reading comprehension
logical reasoning
natural language processing","We introduce ReClor, a reading comprehension dataset requiring logical reasoning, and find that current state-of-the-art models struggle with real logical reasoning with poor performance near that of random guess."
AssembleNet: Searching for Multi-Stream Neural Connectivity in Video Architectures,"

Michael S. Ryoo
, 
AJ Piergiovanni
, 
Mingxing Tan
, 
Anelia Angelova

","video representation learning
video understanding
activity recognition
neural architecture search",We search for multi-stream neural architectures with better connectivity and spatio-temporal interactions for video understanding.
Adversarially Robust Representations with Smooth Encoders,"

Taylan Cemgil
, 
Sumedh Ghaisas
, 
Krishnamurthy (Dj) Dvijotham
, 
Pushmeet Kohli

","Adversarial Learning
Robust Representations
Variational AutoEncoder
Wasserstein Distance
Variational Inference",We propose a method for computing adversarially robust representations in an entirely unsupervised way.
From Variational to Deterministic Autoencoders,"

Partha Ghosh
, 
Mehdi S. M. Sajjadi
, 
Antonio Vergari
, 
Michael Black
, 
Bernhard Scholkopf

","Unsupervised learning
Generative Models
Variational Autoencoders
Regularization","Deterministic regularized autoencoders can learn a smooth, meaningful latent space as VAEs without having to force some arbitrarily chosen prior (i.e., Gaussian)."
Computation Reallocation for Object Detection,"

Feng Liang
, 
Chen Lin
, 
Ronghao Guo
, 
Ming Sun
, 
Wei Wu
, 
Junjie Yan
, 
Wanli Ouyang

","Neural Architecture Search
Object Detection",We propose CR-NAS to reallocate engaged  computation resources in different resolution and spatial position.
Finding and Visualizing Weaknesses of Deep Reinforcement Learning Agents,"

Christian Rupprecht
, 
Cyril Ibrahim
, 
Christopher J. Pal

","Visualization
Reinforcement Learning
Safety",We generate critical states of a trained RL algorithms to visualize potential weaknesses. 
A Fair Comparison of Graph Neural Networks for Graph Classification,"

Federico Errica
, 
Marco Podda
, 
Davide Bacciu
, 
Alessio Micheli

","graph neural networks
graph classification
reproducibility
graph representation learning",We provide a rigorous comparison of different Graph Neural Networks for graph classification.
Generalization bounds for deep convolutional neural networks,"

Philip M. Long
, 
Hanie Sedghi

","generalization
convolutional networks
statistical learning theory",We prove generalization bounds for convolutional neural networks that take account of weight-tying
SAdam: A Variant of Adam for Strongly Convex Functions,"

Guanghui Wang
, 
Shiyin Lu
, 
Quan Cheng
, 
Wei-wei Tu
, 
Lijun Zhang

","Online convex optimization
Adaptive online learning
Adam",A variant of Adam for strongly convex functions
Continual Learning with Bayesian Neural Networks for Non-Stationary Data,"

Richard Kurle
, 
Botond Cseke
, 
Alexej Klushyn
, 
Patrick van der Smagt
, 
Stephan Günnemann

","Continual Learning
Online Variational Bayes
Non-Stationary Data
Bayesian Neural Networks
Variational Inference
Lifelong Learning
Concept Drift
Episodic Memory","This work addresses continual learning for non-stationary data, using Bayesian neural networks and memory-based online variational Bayes."
Multiplicative Interactions and Where to Find Them,"

Siddhant M. Jayakumar
, 
Wojciech M. Czarnecki
, 
Jacob Menick
, 
Jonathan Schwarz
, 
Jack Rae
, 
Simon Osindero
, 
Yee Whye Teh
, 
Tim Harley
, 
Razvan Pascanu

","multiplicative interactions
hypernetworks
attention","We explore the role of multiplicative interaction as a unifying framework to describe a range of classical and modern neural network architectural motifs, such as gating, attention layers, hypernetworks, and dynamic convolutions amongst others."
FEW-SHOT LEARNING ON GRAPHS VIA SUPER-CLASSES BASED ON GRAPH SPECTRAL MEASURES,"

Jatin Chauhan
, 
Deepak Nathani
, 
Manohar Kaul

","Few shot graph classification
graph spectral measures
super-classes",
On Computation and Generalization of Generative Adversarial Imitation Learning,"

Minshuo Chen
, 
Yizhou Wang
, 
Tianyi Liu
, 
Zhuoran Yang
, 
Xingguo Li
, 
Zhaoran Wang
, 
Tuo Zhao

",,
A Target-Agnostic Attack on Deep Models: Exploiting Security Vulnerabilities of Transfer Learning,"

Shahbaz Rezaei
, 
Xin Liu

","Machine learning security
Transfer learning
deep learning security
Softmax Vulnerability
Transfer learning Security",
Low-Resource Knowledge-Grounded Dialogue Generation,"

Xueliang Zhao
, 
Wei Wu
, 
Chongyang Tao
, 
Can Xu
, 
Dongyan Zhao
, 
Rui Yan

",,
"Deep 3D Pan via local adaptive ""t-shaped"" convolutions with global and local adaptive dilations","

Juan Luis Gonzalez Bello
, 
Munchurl Kim

","Deep learning
Stereoscopic view synthesis
Monocular depth
Deep 3D Pan",Novel architecture for stereoscopic view synthesis at arbitrary camera shifts utilizing adaptive t-shaped kernels with adaptive dilations.
Tree-Structured Attention with Hierarchical Accumulation,"

Xuan-Phi Nguyen
, 
Shafiq Joty
, Steven Hoi, Richard Socher
      ","Tree
Constituency Tree
Hierarchical Accumulation
Machine Translation
NMT
WMT
IWSLT
Text Classification
Sentiment Analysis",
The asymptotic spectrum of the Hessian of DNN throughout training,"

Arthur Jacot
, 
Franck Gabriel
, 
Clement Hongler

","theory of deep learning
loss surface
training
fisher information matrix",Description of the limiting spectrum of the Hesian of the loss surface of DNNs in the infinite-width limit.
Actor-Critic Provably Finds Nash Equilibria of Linear-Quadratic Mean-Field Games,"

Zuyue Fu
, 
Zhuoran Yang
, 
Yongxin Chen
, 
Zhaoran Wang

",,Actor-Critic method with function approximation finds the Nash equilibrium pairs in mean-field games with theoretical guarantee. 
In Search for a SAT-friendly Binarized Neural Network Architecture,"

Nina Narodytska
, 
Hongce Zhang
, 
Aarti Gupta
, 
Toby Walsh

","verification
Boolean satisfiability
Binarized Neural Networks",Formal analysis of  Binarized Neural Networks 
Generative Ratio Matching Networks,"

Akash Srivastava
, 
Kai Xu
, 
Michael U. Gutmann
, 
Charles Sutton

","deep generative model
deep learning
maximum mean discrepancy
density ratio estimation","MMD-based, saddle-point optimisation free, stable-to-train generative model that beats GAN on generative quality without playing any  zero-sum games."
Learning to Represent Programs with Property Signatures,"

Augustus Odena
, 
Charles Sutton

",Program Synthesis,We represent a computer program using a set of simpler programs and use this representation to improve program synthesis techniques.
V4D: 4D Convolutional Neural Networks for Video-level Representation Learning,"

Shiwen Zhang
, 
Sheng Guo
, 
Weilin Huang
, 
Matthew R. Scott
, 
Limin Wang

","video-level representation learning
video action recognition
4D CNNs","A novel 4D CNN structure for video-level representation learning, surpassing  recent 3D CNNs."
Option Discovery using Deep Skill Chaining,"

Akhil Bagaria
, 
George Konidaris

","Hierarchical Reinforcement Learning
Reinforcement Learning
Skill Discovery
Deep Learning
Deep Reinforcement Learning",We present a new hierarchical reinforcement learning algorithm which can solve high-dimensional goal-oriented tasks  more reliably than non-hierarchical agents and other state-of-the-art skill discovery techniques.
Quantifying the Cost of Reliable Photo Authentication via High-Performance Learned Lossy Representations,"

Pawel Korus
, 
Nasir Memon

","image forensics
photo manipulation detection
learned compression
lossy compression
image compression
entropy estimation",We learn an efficient lossy image codec that can be optimized to facilitate reliable photo manipulation detection at fractional cost in payload/quality and even at low bitrates.
On the Variance of the Adaptive Learning Rate and Beyond,"

Liyuan Liu
, 
Haoming Jiang
, 
Pengcheng He
, 
Weizhu Chen
, 
Xiaodong Liu
, 
Jianfeng Gao
, 
Jiawei Han

","warmup
adam
adaptive learning rate
variance","If warmup is the answer, what is the question?"
Dynamical Distance Learning for Semi-Supervised and Unsupervised Skill Discovery,"

Kristian Hartikainen
, 
Xinyang Geng
, 
Tuomas Haarnoja
, 
Sergey Levine

","reinforcement learning
semi-supervised learning
unsupervised learning
robotics
deep learning",We show how to automatically learn dynamical distances in reinforcement learning setting and use them to provide well-shaped reward functions for reaching new goals.
A Theoretical Analysis of the Number of Shots in Few-Shot Learning,"

Tianshi Cao
, 
Marc T Law
, 
Sanja Fidler

","Few shot learning
Meta Learning
Performance Bounds",The paper analyzes the effect of shot number on prototypical networks and proposes a robust method when the shot number differs from meta-training to meta-testing time.
Unsupervised Model Selection for Variational Disentangled Representation Learning,"

Sunny Duan
, 
Loic Matthey
, 
Andre Saraiva
, 
Nick Watters
, 
Chris Burgess
, 
Alexander Lerchner
, 
Irina Higgins

","unsupervised disentanglement metric
disentangling
representation learning",We introduce a method for unsupervised disentangled model selection for VAE-based disentangled representation learning approaches.
Feature Interaction Interpretability: A Case for Explaining Ad-Recommendation Systems via Neural Interaction Detection,"

Michael Tsang
, 
Dehua Cheng
, 
Hanpeng Liu
, 
Xue Feng
, 
Eric Zhou
, 
Yan Liu

","Feature Interaction
Interpretability
Black Box
AutoML",Proposed methods to extract and leverage interpretations of feature interactions
Understanding the Limitations of Variational Mutual Information Estimators,"

Jiaming Song
, 
Stefano Ermon

",,
GENESIS: Generative Scene Inference and Sampling with Object-Centric Latent Representations,"

Martin Engelcke
, 
Adam R. Kosiorek
, 
Oiwi Parker Jones
, 
Ingmar Posner

","Generative modelling
object-centric representations
scene generation
variational inference",We present the first object-centric generative model of 3D visual scenes capable of both decomposing and generating scenes.
Language GANs Falling Short,"

Massimo Caccia
, 
Lucas Caccia
, 
William Fedus
, 
Hugo Larochelle
, 
Joelle Pineau
, 
Laurent Charlin

","NLP
GAN
MLE
adversarial
text generation
temperature","GANs have been applied to text generation and are believed SOTA. However, we propose a new evaluation protocol demonstrating that maximum-likelihood trained models are still better."
Stochastic Conditional Generative Networks with Basis Decomposition,"

Ze Wang
, 
Xiuyuan Cheng
, 
Guillermo Sapiro
, 
Qiang Qiu

",,
LEARNED STEP SIZE QUANTIZATION,"

Steven K. Esser
, 
Jeffrey L. McKinstry
, 
Deepika Bablani
, 
Rathinakumar Appuswamy
, 
Dharmendra S. Modha

","deep learning
low precision
classification
quantization",A method for learning quantization configuration for low precision networks that achieves state of the art performance for quantized networks.
"On the ""steerability"" of generative adversarial networks","

Ali Jahanian*
, 
Lucy Chai*
, 
Phillip Isola

","generative adversarial network
latent space interpolation
dataset bias
model generalization",Interpolations in the latent space demonstrate generalization capacity of GANs and the effect of dataset biases.
Reinforced active learning for image segmentation,"

Arantxa Casanova
, 
Pedro O. Pinheiro
, 
Negar Rostamzadeh
, 
Christopher J. Pal

","semantic segmentation
active learning
reinforcement learning",Learning a labeling policy with reinforcement learning to reduce labeling effort for the task of semantic segmentation
Sign Bits Are All You Need for Black-Box Attacks,"

Abdullah Al-Dujaili
, 
Una-May O'Reilly

","Black-box adversarial attack models
Deep Nets
Adversarial Examples
Black-Box Optimization
Zeroth-Order Optimization","We present a sign-based, rather than magnitude-based, gradient estimation approach that shifts gradient estimation from continuous to binary black-box optimization."
Deep Semi-Supervised Anomaly Detection,"

Lukas Ruff
, 
Robert A. Vandermeulen
, 
Nico Görnitz
, 
Alexander Binder
, 
Emmanuel Müller
, 
Klaus-Robert Müller
, 
Marius Kloft

","anomaly detection
deep learning
semi-supervised learning
unsupervised learning
outlier detection
one-class classification
deep anomaly detection
deep one-class classification","We introduce Deep SAD, a deep method for general semi-supervised anomaly detection that especially takes advantage of labeled anomalies."
Budgeted Training: Rethinking Deep Neural Network Training Under Resource Constraints,"

Mengtian Li
, 
Ersin Yumer
, 
Deva Ramanan

","budgeted training
learning rate schedule
linear schedule
annealing
learning rate decay",Introduce a formal setting for budgeted training and propose a budget-aware linear learning rate schedule
Minimizing FLOPs to Learn Efficient Sparse Representations,"

Biswajit Paria
, 
Chih-Kuan Yeh
, 
Ian E.H. Yen
, 
Ning Xu
, 
Pradeep Ravikumar
, 
Barnabás Póczos

","sparse embeddings
deep representations
metric learning
regularization","We propose an approach to learn sparse high dimensional representations that are fast to search, by incorporating a surrogate of the number of operations directly into the loss function."
Reanalysis of Variance Reduced Temporal Difference Learning,"

Tengyu Xu
, 
Zhe Wang
, 
Yi Zhou
, 
Yingbin Liang

","Reinforcement Learning
TD learning
Markovian sample
Variance Reduction",This paper provides a rigorous study of the variance reduced TD learning and characterizes its advantage over vanilla TD learning
Imitation Learning via Off-Policy Distribution Matching,"

Ilya Kostrikov
, 
Ofir Nachum
, 
Jonathan Tompson

","reinforcement learning
deep learning
imitation learning
adversarial learning",
Rapid Learning or Feature Reuse? Towards Understanding the Effectiveness of MAML,"

Aniruddh Raghu
, 
Maithra Raghu
, 
Samy Bengio
, 
Oriol Vinyals

","deep learning analysis
representation learning
meta-learning
few-shot learning","The success of MAML relies on feature reuse from the meta-initialization, which also yields a natural simplification of the algorithm, with the inner loop removed for the network body, as well as other insights on the head and body."
Augmenting Genetic Algorithms with Deep Neural Networks for Exploring the Chemical Space,"

AkshatKumar Nigam
, 
Pascal Friederich
, 
Mario Krenn
, 
Alan Aspuru-Guzik

","Generative model
Chemical Space
Inverse Molecular Design",Tackling inverse design via genetic algorithms augmented with deep neural networks. 
Improved Sample Complexities for Deep Neural Networks and Robust Classification via an All-Layer Margin,"

Colin Wei
, 
Tengyu Ma

","deep learning theory
generalization bounds
adversarially robust generalization
data-dependent generalization bounds","We propose a new notion of margin that has a direct relationship with neural net generalization, and obtain improved generalization bounds for neural nets and robust classification by analyzing this margin."
Identity Crisis: Memorization and Generalization Under Extreme Overparameterization,"

Chiyuan Zhang
, 
Samy Bengio
, 
Moritz Hardt
, 
Michael C. Mozer
, 
Yoram Singer

","Generalization
Memorization
Understanding
Inductive Bias",
ReMixMatch: Semi-Supervised Learning with Distribution Matching and Augmentation Anchoring,"

David Berthelot
, 
Nicholas Carlini
, 
Ekin D. Cubuk
, 
Alex Kurakin
, 
Kihyuk Sohn
, 
Han Zhang
, 
Colin Raffel

",semi-supervised learning,"We introduce Distribution Matching and Augmentation Anchoring, two improvements to MixMatch which produce state-of-the-art results and enable surprisingly strong performance with only 40 labels on CIFAR-10 and SVHN."
Adaptive Structural Fingerprints for Graph Attention Networks,"

Kai Zhang
, 
Yaokang Zhu
, 
Jun Wang
, 
Jie Zhang

","Graph attention networks
graph neural networks
node classification","Exploiting rich strucural details in graph-structued data via adaptive ""strucutral fingerprints''"
CAQL: Continuous Action Q-Learning,"

Moonkyung Ryu
, 
Yinlam Chow
, 
Ross Anderson
, 
Christian Tjandraatmadja
, 
Craig Boutilier

","Reinforcement learning (RL)
DQN
Continuous control
Mixed-Integer Programming (MIP)",A general framework of value-based reinforcement learning for continuous control
Learning Heuristics for Quantified Boolean Formulas through Reinforcement Learning,"

Gil Lederman
, 
Markus Rabe
, 
Sanjit Seshia
, 
Edward A. Lee

","Logic
QBF
Logical Reasoning
SAT
Graph
Reinforcement Learning
GNN","We use RL to automatically learn branching heuristic within a state of the art QBF solver, on industrial problems."
Pure and Spurious Critical Points: a Geometric Study of Linear Networks,"

Matthew Trager
, 
Kathlén Kohn
, 
Joan Bruna

","Loss landscape
linear networks
algebraic geometry",
Neural Text Generation With Unlikelihood Training,"

Sean Welleck
, 
Ilia Kulikov
, 
Stephen Roller
, 
Emily Dinan
, 
Kyunghyun Cho
, 
Jason Weston

","language modeling
machine learning",
Semi-Supervised Generative Modeling for Controllable Speech Synthesis,"

Raza Habib
, 
Soroosh Mariooryad
, 
Matt Shannon
, 
Eric Battenberg
, 
RJ Skerry-Ryan
, 
Daisy Stanton
, 
David Kao
, 
Tom Bagby

","TTS
Speech Synthesis
Semi-supervised Models
VAE
disentanglement",
Dynamic Time Lag Regression: Predicting What & When,"

Mandar Chandorkar
, 
Cyril Furtlehner
, 
Bala Poduval
, 
Enrico Camporeale
, 
Michele Sebag

","Dynamic Time-Lag Regression
Time Delay
Regression
Time Series",We propose a new regression framework for temporal phenomena having non-stationary time-lag dependencies.
Scalable Model Compression by Entropy Penalized Reparameterization,"

Deniz Oktay
, 
Johannes Ballé
, 
Saurabh Singh
, 
Abhinav Shrivastava

","deep learning
model compression
computer vision
information theory",An end-to-end trainable model compression method optimizing accuracy jointly with the expected model size.
AMRL: Aggregated Memory For Reinforcement Learning,"

Jacob Beck
, 
Kamil Ciosek
, 
Sam Devlin
, 
Sebastian Tschiatschek
, 
Cheng Zhang
, 
Katja Hofmann

","deep learning
reinforcement learning
rl
memory
noise
machine learning","In Deep RL, order-invariant functions can be used in conjunction with standard memory modules to improve gradient decay and resilience to noise."
Efficient Riemannian Optimization on the Stiefel Manifold via the Cayley Transform,"

Jun Li
, 
Fuxin Li
, 
Sinisa Todorovic

","Orthonormality
Efficient Riemannian Optimization
the Stiefel manifold.",This paper is about efficient Riemannian optimization on the Stiefel manifold that enforces the parameter matrices orthonormal.
